,name,frequence
1123,Lothaire,1
1124,Louis,7
1125,Louisa,2
1126,Louise,6
1127,Louisette,4
1128,Louisiane,1
1129,Louison,1
1130,Loup,1
1131,Luana,1
1132,Luc,7
1133,Lucas,4
1134,Luce,2
1135,Lucette,5
1136,Lucia,2
1137,Luciane,1
1138,Lucie,6
1139,Lucien,6
1140,Lucienne,6
1141,Lucile,4
1142,Lucille,1
1143,Lucine,1
1144,Lucrèce,1
1145,Ludivine,4
1146,Ludovic,6
1147,Ludovick,1
1148,Lydéric,1
1149,Lydia,4
1150,Lydiane,1
1151,Lydie,5
1152,Lylian,1
1153,Lyne,1
1154,Lyonel,1
1155,Lysa,1
1156,Lysandre,1
1157,Lyse,1
1158,Lysiane,3
1159,Macaire,1
1160,Madeleine,7
1161,Mady,1
1162,Maël,2
1163,Maëlane,1
1164,Maële,1
1165,Maëlenn,1
1166,Maëlie,1
1167,Maëlig,1
1168,Maëline,1
1169,Maëlis,1
1170,Maëliss,1
1171,Maella,1
1172,Maëlle,2
1173,Maëly,1
1174,Maëlys,1
1175,Maëlyss,1
1176,Maeva,3
1177,Magali,6
1178,Magalie,4
1179,Magdeleine,1
1180,Magloire,1
1181,Maguelonne,1
1182,Maguy,1
1183,Mahaut,1
1184,Mahé,1
1185,Maïly,1
1186,Maïlys,1
1187,Maïna,1
1188,Maïthe,1
1189,Maïwen,1
1190,Maïwenn,1
1191,Maixent,1
1192,Malaurie,1
1193,Malaury,1
1194,Malidienne,1
1195,Mallaurie,1
1196,Mallaury,1
1197,Mallorie,1
1198,Mallory,1
1199,Malo,1
1200,Malorie,1
1201,Malory,1
1202,Malou,1
1203,Manelle,1
1204,Manoël,1
1205,Manon,5
1206,Manuel,4
1207,Manuela,2
1208,Manuella,2
1209,Manuelle,1
1210,Marc,8
1211,Marceau,2
1212,Marcel,7
1213,Marcelin,1
1214,Marceline,2
1215,Marcelle,6
1216,Marcellin,1
1217,Marcelline,2
1218,Marcien,1
1219,Marcienne,1
1220,Margaux,3
1221,Margot,3
1222,Marguerite,6
1223,Maria,6
1224,Mariane,1
1225,Marianne,4
1226,Mariannick,1
1227,Marie,B
1228,Marie-André,1
1229,Marie-Joseph,1
1230,Marielle,3
1231,Marie-Luce,1
1232,Marie-Pascale,1
1233,Marie-Pierre,5
1234,Mariette,2
1235,Marilyn,2
1236,Marilyne,3
1237,Marilyse,1
1238,Marine,5
1239,Marinette,4
